sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1484930700;-5.2;80
1484932500;-6.1;82
1484934300;-6.9;83
1484936100;-7.5;84
1484937900;-7.9;85
1484939700;-8.3;85
1484941500;-8.7;85
1484943300;-9.1;85
1484945100;-9.4;85
1484946900;-9.8;85
1484948700;-10.2;84
1484950500;-10.5;85
1484952300;-10.8;84
1484954100;-11;85
1484955900;-11.4;84
1484957700;-11.6;84
1484959500;-11.8;84
1484961300;-12;84
1484963100;-12.2;85
1484964900;-12.3;89
1484966700;-12.3;90
1484968500;-12.2;90
1484970300;-12.2;89
1484972100;-12.2;89
1484973900;-12.3;89
1484975700;-12.4;88
1484977500;-12.2;90
1484979300;-11.9;92
1484981100;-11.6;92
1484982900;-11.5;89
1484984700;-11.4;88
1484986500;-11.1;89
1484988300;-10.4;89
1484990100;-9.2;87
1484991900;-8.4;85
1484993700;-7.7;84
1484995500;-7.5;84
1484997300;-7;84
1484999100;-6.3;84
1485000900;-5.6;82
1485002700;-5;81
1485004500;-4.4;80
1485006300;-4;79
1485008100;-2.7;76
1485009900;-2.6;72
1485011700;-3.8;76
1485013500;-4.6;78
1485015300;-5.4;80
1485017100;-6.2;81
1485018900;-7.1;82
1485020700;-7.8;83
1485022500;-8.4;84
1485024300;-8.8;85
1485026100;-9.3;84
1485027900;-9.7;85
1485029700;-10.1;85
1485031500;-10.5;84
1485033300;-10.8;85
1485035100;-11.1;84
1485036900;-11.3;84
1485038700;-11.6;84
1485040500;-11.8;84
1485042300;-12.1;84
1485044100;-11.8;89
1485045900;-11.3;91
1485047700;-11.1;91
1485049500;-11.3;90
1485051300;-11.4;90
1485053100;-11.3;90
1485054900;-11.6;90
1485056700;-11.6;91
1485058500;-11.6;91
1485060300;-11.7;90
1485062100;-11.6;89
1485063900;-11.9;88
1485065700;-12;87
1485067500;-12.2;86
1485069300;-12.4;86
1485071100;-12.2;86
1485072900;-11.7;87
1485074700;-11;88
1485076500;-9.2;87
1485078300;-7.9;81
1485080100;-7.4;79
1485081900;-7.3;81
1485083700;-7.1;81
1485085500;-6.5;80
1485087300;-6;80
1485089100;-5.5;79
1485090900;-4.9;79
1485092700;-4.4;78
1485094500;-2.8;75
1485096300;-2.6;71
1485098100;-3.6;74
1485099900;-4.4;76
1485101700;-5.1;78
1485103500;-6.1;79
1485105300;-7;81
1485107100;-7.7;82
1485108900;-8.3;83
1485110700;-8.8;84
1485112500;-9.2;84
1485114300;-9.6;84
1485116100;-10;84
1485117900;-10.4;84
1485119700;-10.7;84
1485121500;-10.9;84
1485123300;-11.2;84
1485125100;-11;86
1485126900;-11.3;84
1485128700;-11.7;85
1485130500;-11.9;84
1485132300;-12.3;84
1485134100;-12.6;86
1485135900;-12.7;89
1485137700;-13;89
1485139500;-13.1;86
1485141300;-13.2;86
1485143100;-13.3;85
1485144900;-13.5;85
1485146700;-13.7;84
1485148500;-13.8;84
1485150300;-13.9;84
1485152100;-13.5;87
1485153900;-13.5;84
1485155700;-13.9;84
1485157500;-13.5;86
1485159300;-12.9;87
1485161100;-11.8;88
1485162900;-10.3;88
1485164700;-8.8;84
1485166500;-8;81
1485168300;-7.7;81
1485170100;-7.5;81
1485171900;-7.1;82
1485173700;-6.3;81
1485175500;-5.6;80
1485177300;-4.8;80
1485179100;-4.2;78
1485180900;-2.7;76
1485182700;-2.7;72
1485184500;-3.8;75
1485186300;-4.9;77
1485188100;-5.9;79
1485189900;-6.9;80
1485191700;-7.6;82
1485193500;-8.3;83
1485195300;-8.8;84
1485197100;-9.3;85
1485198900;-9.7;84
1485200700;-10.3;85
1485202500;-10.4;85
1485204300;-10.8;84
1485206100;-11.2;84
1485207900;-11.6;84
1485209700;-11.8;87
1485211500;-11.9;90
1485213300;-11.7;91
1485215100;-11.4;91
1485216900;-10.9;92
1485218700;-10.3;93
1485220500;-9.9;92
1485222300;-9.9;91
1485224100;-9.7;90
1485225900;-9.7;91
1485227700;-9.5;91
1485229500;-9.5;92
1485231300;-9.3;93
1485233100;-9.1;93
1485234900;-8.9;93
1485236700;-8.8;92
1485238500;-8.8;92
1485240300;-8.8;92
1485242100;-8.5;93
1485243900;-8.3;95
1485245700;-8;94
1485247500;-8;91
1485249300;-7.9;93
1485251100;-7.7;94
1485252900;-7.3;94
1485254700;-7.1;93
1485256500;-6.9;92
1485258300;-6.8;91
1485260100;-6.8;90
1485261900;-6.7;90
1485263700;-6.7;90
1485265500;-6.7;90
1485267300;-6.7;90
1485269100;-6.7;90
1485270900;-6.8;89
1485272700;-6.9;89
1485274500;-7;90
1485276300;-7;90
1485278100;-7.1;90
1485279900;-7.1;90
1485281700;-7.1;90
1485283500;-7.1;90
1485285300;-7.1;90
1485287100;-7.2;90
1485288900;-7.1;90
1485290700;-7.1;90
1485292500;-7.1;90
1485294300;-7.2;90
1485296100;-7.2;89
1485297900;-7.2;89
1485299700;-7.2;89
1485301500;-7.2;89
1485303300;-7.2;89
1485305100;-7.2;89
1485306900;-7.2;89
1485308700;-7.2;89
1485310500;-7.2;88
1485312300;-7.1;88
1485314100;-7.1;87
1485315900;-7.2;87
1485317700;-7.2;86
1485319500;-7.2;87
1485321300;-7.2;87
1485323100;-7.2;86
1485324900;-7.3;86
1485326700;-7.3;86
